Label	Replace by
ahuora - centre for smart energy systems, school of engineering, university of waikato, hamilton, new zealand	university of waikato
applied informatics, óbuda university, bécsi út 96/b, budapest, 1034, hungary	óbuda university
artificial intelligence national laboratory, széchenyi istván university, gyõr, 9026, hungary	széchenyi istván university
autonomous university of bucaramanga, department of systems engineering, avenida 42 no 48-11, bucaramanga, santander, colombia	autonomous university of bucaramanga
biological systems engineering department, washington state university, pullman, wa 99164, united states	washington state university
biomass waste-to-wealth sig, research centre for sustainable technologies, faculty of engineering, computing and science, swinburne university of technology, jalan simpang tiga, sarawak, kuching, 93350, malaysia	swinburne university of technology
biomass waste-to-wealth special interest group, faculty of engineering, computing and science, swinburne university of technology, jalan simpang tiga, sarawak, kuching, 93350, malaysia	swinburne university of technology
biomass waste-to-wealth special interest group, research centre for sustainable technologies, faculty of engineering, computing and science, swinburne university of technology, jalan simpang tiga, kuching, sarawak 93350, malaysia	swinburne university of technology
biomass waste-to-wealth special interest group, research centre for sustainable technologies, faculty of engineering, computing and science, swinburne university of technology, jalan simpang tiga, sarawak, kuching, 93350, malaysia	swinburne university of technology
biomaterials and environmental engineering laboratory, department of engineering science, college of engineering and agro-industrial technology university of the philippines los ba?os, college, los ba?os, laguna 4031, philippines	university of the philippines
biomaterials and environmental engineering laboratory, department of engineering science, college of engineering and agro-industrial technology university of the philippines los ba?os, college, los ba?os, laguna 4031, philippines	university of the philippines
blue reply s.r.l., milano, italy	blue reply s.r.l.
brno university of technology, institute of process engineering & netme centre, technicka 2896/2, brno, 616 69, czech republic	brno university of technology
brno university of technology, institute of process engineering & netme centre, technická 2896/2, brno, 616 69, czech republic	brno university of technology
brno university of technology, institute of process engineering, netme centre, technicka 2896/2, brno, 616 69, czech republic	brno university of technology
budapest business school, department of methodology, budapest, hungary	budapest business school
budapest business school, faculty of international management and business, department of mathematics, statistics and informatics, budapest, hungary	budapest business school
budapest tech., bécsi út 96/b, h-1034 budapest, hungary	budapest university of technology and economics
budapest tech., john von neumann faculty of informatics, institute for software engineering, budapest, hungary	budapest university of technology and economics
budapest university of technology and economics, budapest, h-1111, hungary	budapest university of technology and economics
budapest university of technology and economics, budapest, hungary	budapest university of technology and economics
budapest university of technology and economics, mûegyetem rkp. 3, budapest, 1111, hungary	budapest university of technology and economics
center for advanced process decision-making, department of chemical engineering, carnegie mellon university, pittsburgh, pa, united states	carnegie mellon university
center for artificial intelligence technology, faculty of information science and technology, universiti kebangsaan malaysia, selangor, bangi, 43600, malaysia	National University of Malaysia
center for engineering and sustainable development research, de la salle university, 2401 taft avenue, manila, 0922, philippines	de la salle university
center for engineering and sustainable development research, de la salle university, manila, philippines	de la salle university
center for environmental solutions and emergency response, u.s. environmental protection agency, 26 west martin luther king drive, cincinnati, oh 45268, united states	U.S. Environmental Protection Agency
center for process systems engineering and sustainability, pázmány péter catholic university, hungary	pázmány péter catholic university
center for process systems engineering and sustainability, pázmány péter catholic university, szentkirályi u. 28, budapest, h-1088, hungary	pázmány péter catholic university
center for uncertain systems, tools for optimization and management (custom), vishwamitra research institute, westmont, il 60559, united states	vishwamitra research institute
centre for advanced process optimization (capo), university of pannonia, hungary	university of pannonia
centre for advanced process optimization (capo), university of pannonia, veszprém, hungary	university of pannonia
centre for process integration and intensification - cpi2, research institute of chemical and process engineering, faculty of information technology, egyetem u. 10, h-8200 veszprém, hungary	university of pannonia
centre for process integration and intensification-cpi2, research institute of chemical and process engineering, faculty of information technology, university of pannonia, egyetem u. 10, veszprém, h-8200, hungary	university of pannonia
centre for process integration, school of chemical engineering and analytical science, the university of manchester, manchester, m13 9pl, united kingdom	university of manchester
centre for process systems engineering and sustainability, pázmány péter catholic university, szentkirályi utca 28, budapest, 1088, hungary	pázmány péter catholic university
centre for process systems engineering, department of chemical engineering, imperial college london, london, sw 2az, united kingdom	imperial college london
centre of excellence for green technology, faculty of engineering, university of nottingham malaysia campus, jalan broga, 43500 semenyih, selangor, malaysia	university of nottingham malaysia
centre of hydrogen energy, institute of future energy, universiti teknologi malaysia (utm), malaysia	University of Technology Malaysia
centre of process integration and intensification - cpi2, faculty of it, university of pannonia, egyetem u.10, veszprém, hungary	university of pannonia
chemical engineering department, center for engineering and sustainable development research, de la salle university, 2401 taft avenue, manila, 1004, philippines	de la salle university
chemical engineering department, de la salle university, 2401 taft avenue, malate, manila 0922, philippines	de la salle university
chemical engineering department, de la salle university, 2401 taft avenue, malate, manila, 1004, philippines	de la salle university
chemical engineering department, de la salle university, 2401 taft avenue, manila, 0922, philippines	de la salle university
chemical engineering department, de la salle university, manila, 0922, philippines	de la salle university
chemical engineering department, de la salle university, manila, philippines	de la salle university
