Label	Replace by
Aboagye, E.A.	Aboagye, E.A.
Abonyi, J.	Abonyi, J.
Abonyi, János	Abonyi, J.
Abonyi, Wj.	Abonyi, J.
Adonyi, R	Adonyi, R.
Adonyi, R.	Adonyi, R.
Adorna, J.A., Jr.	Adorna, J.A.
Affery, A.P.	Affery, A.P.
Affery, A.P.	Affery, A.P.
Peter Affery, A.	Affery, A.P.
Ágoston, György	Ágoston, Gy.
Ágoston, G.	Ágoston, Gy.
Alano, Vince Harvey O.	Alano, V.H.O.
Ali, R. A.	Ali, R.A.
Ali, R.A.	Ali, R.A.
Ali, RA	Ali, R.A.
Almási, D.	Almási, D.
Almsley, M.R.W.W.	Almsley, M.R.W.W.
Alwi, S.R.W.	Alwi, S.R.W.
Andiappan, V.	Andiappan, V.
Angeles, D.A.	Angeles, D.A.
Are, K.R.A.G.	Are, K.R.A.G.
Argoti, A.	Argoti, A.
Argoti, Andres	Argoti, A.
Arogo, J. I. A.	Arogo, J.I.A.
Arogo, J.I.A.	Arogo, J.I.A.
Atkins, M.J.	Atkins, M.J.
Atkins, M.J.	Atkins, M.J.
Aviso, K	Aviso, K.B.
Aviso, K.	Aviso, K.B.
Aviso, K.B.	Aviso, K.B.
Aviso, K.B.	Aviso, K.B.
Aviso, Kathleen B.	Aviso, K.B.
Aviso, Kathleen B.	Aviso, K.B.
Aviso, KB	Aviso, K.B.
Barakhtenko, EA	Barakhtenko, E.A.
Barany, M.	Barany, M.
Barany, M.	Barany, M.
Bardow, A	Bardow, A.
Bardow, A.	Bardow, A.
Bardow, André	Bardow, A.
Bartha, T.	Bartha, T.
Bartos, A.	Bartos, A.
Bartos, A.	Bartos, A.
Baumgartncr, Uj.	Baumgartner, J.
Baumgartner, J	Baumgartner, J.
Baumgartner, J.	Baumgartner, J.
Baumgartner, J.	Baumgartner, J.
Baumgartner, János	Baumgartner, J.
Belmonte, B.A.	Belmonte, B.A.
Benjamin, M.F.D.	Benjamin, M.F.D.
Benjamin, M.F.D.	Benjamin, M.F.D.
Bernini, R.	Bernini, R.
Bertok, B.	Bertók, B.
Bertok, B.	Bertók, B.
Bertók, B.	Bertók, B.
Bertók, B.	Bertók, B.
Bertók, Botond	Bertók, B.
Blazsik, Zoltan	Blazsik, Z.
Blicket, T	Blicket, T.
Boldyryev, S.	Boldyryev, S.
Boldyryev, Stanislav	Boldyryev, S.
Bondavalli, A.	Bondavalli, A.
Brendel, M. H.	Brendel, M.H.
Budapest Tech	Budapest Tech
Bukodi, Zsolt	Bukodi, Z.
Burnham, S	Burnham, S.
Cabezas, H	Cabezas, H.
Cabezas, H.	Cabezas, H.
Cabezas, H.	Cabezas, H.
Cabezas, Heriberto	Cabezas, H.
Cao, J.	Cao, J.
Cayamanda, C.	Cayamanda, C.D.
